gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
ARG,35,204,79799.4565420535,281926.306360066,361725.762902119,2778951.80945959,13.0166259692161,Argentina_ARG,Argentina,361725.762902119,Argentina,Southern America,Upper middle income
ARG,40,233,89282.019194443,281926.306360066,371208.325554509,2778951.80945959,13.3578540041936,Argentina_ARG,Argentina,371208.325554509,Argentina,Southern America,Upper middle income
ARG,45,262,92843.9252810213,281926.306360066,374770.231641087,2778951.80945959,13.4860284502007,Argentina_ARG,Argentina,374770.231641087,Argentina,Southern America,Upper middle income
ARG,50,291,101421.738286907,281926.306360066,383348.044646973,2778951.80945959,13.7946992582617,Argentina_ARG,Argentina,383348.044646973,Argentina,Southern America,Upper middle income
ARG,55,321,111070.933450554,281926.306360066,392997.23981062,2778951.80945959,14.1419235293269,Argentina_ARG,Argentina,392997.23981062,Argentina,Southern America,Upper middle income
ARG,60,350,121607.103946348,281926.306360066,403533.410306414,2778951.80945959,14.5210654223215,Argentina_ARG,Argentina,403533.410306414,Argentina,Southern America,Upper middle income
ARG,65,379,126733.046664149,281926.306360066,408659.353024215,2778951.80945959,14.7055213995843,Argentina_ARG,Argentina,408659.353024215,Argentina,Southern America,Upper middle income
ARG,70,408,136910.772330128,281926.306360066,418837.078690194,2778951.80945959,15.0717647303011,Argentina_ARG,Argentina,418837.078690194,Argentina,Southern America,Upper middle income
ARG,75,437,142689.328685466,281926.306360066,424615.635045532,2778951.80945959,15.2797048728997,Argentina_ARG,Argentina,424615.635045532,Argentina,Southern America,Upper middle income
ARG,80,466,148890.996114647,281926.306360066,430817.302474713,2778951.80945959,15.5028705790509,Argentina_ARG,Argentina,430817.302474713,Argentina,Southern America,Upper middle income
ARG,85,495,154201.450193232,281926.306360066,436127.756553298,2778951.80945959,15.6939661590645,Argentina_ARG,Argentina,436127.756553298,Argentina,Southern America,Upper middle income
ARG,90,524,160288.425713217,281926.306360066,442214.732073284,2778951.80945959,15.9130047008364,Argentina_ARG,Argentina,442214.732073284,Argentina,Southern America,Upper middle income
ARG,95,553,167800.649893788,281926.306360066,449726.956253854,2778951.80945959,16.1833305177505,Argentina_ARG,Argentina,449726.956253854,Argentina,Southern America,Upper middle income
ARG,100,582,177536.878006385,281926.306360066,459463.184366451,2778951.80945959,16.5336866512918,Argentina_ARG,Argentina,459463.184366451,Argentina,Southern America,Upper middle income
ARM,0,0,46.7677951564054,11175.349595093,11222.1173902494,29716.039056858,37.7645128571047,Armenia_ARM,Armenia,11222.1173902494,Armenia,Asia,Upper middle income
ARM,5,1,62.9496475115473,11175.349595093,11238.2992426045,29716.039056858,37.8189678008613,Armenia_ARM,Armenia,11238.2992426045,Armenia,Asia,Upper middle income
ARM,10,1,79.1314998666891,11175.349595093,11254.4810949597,29716.039056858,37.8734227446182,Armenia_ARM,Armenia,11254.4810949597,Armenia,Asia,Upper middle income
ARM,15,2,95.313352221831,11175.349595093,11270.6629473148,29716.039056858,37.9278776883749,Armenia_ARM,Armenia,11270.6629473148,Armenia,Asia,Upper middle income
ARM,20,2,111.495204576973,11175.349595093,11286.84479967,29716.039056858,37.9823326321318,Armenia_ARM,Armenia,11286.84479967,Armenia,Asia,Upper middle income
ARM,25,2,127.677056932115,11175.349595093,11303.0266520251,29716.039056858,38.0367875758884,Armenia_ARM,Armenia,11303.0266520251,Armenia,Asia,Upper middle income
ARM,30,3,141.775215371303,11175.349595093,11317.1248104643,29716.039056858,38.0842305019534,Armenia_ARM,Armenia,11317.1248104643,Armenia,Asia,Upper middle income
ARM,35,3,155.873373810492,11175.349595093,11331.2229689035,29716.039056858,38.1316734280184,Armenia_ARM,Armenia,11331.2229689035,Armenia,Asia,Upper middle income
ARM,40,4,165.270412100195,11175.349595093,11340.6200071932,29716.039056858,38.1632962101521,Armenia_ARM,Armenia,11340.6200071932,Armenia,Asia,Upper middle income
ARM,45,4,169.966330240414,11175.349595093,11345.3159253334,29716.039056858,38.1790988483543,Armenia_ARM,Armenia,11345.3159253334,Armenia,Asia,Upper middle income
ARM,50,4,174.662248380632,11175.349595093,11350.0118434736,29716.039056858,38.1949014865566,Armenia_ARM,Armenia,11350.0118434736,Armenia,Asia,Upper middle income
ARM,55,5,179.35816652085,11175.349595093,11354.7077616139,29716.039056858,38.2107041247592,Armenia_ARM,Armenia,11354.7077616139,Armenia,Asia,Upper middle income
ARM,60,5,184.054084661069,11175.349595093,11359.4036797541,29716.039056858,38.2265067629615,Armenia_ARM,Armenia,11359.4036797541,Armenia,Asia,Upper middle income
ARM,65,6,189.270768909648,11175.349595093,11364.6203640026,29716.039056858,38.244061876005,Armenia_ARM,Armenia,11364.6203640026,Armenia,Asia,Upper middle income
ARM,70,6,195.008219266587,11175.349595093,11370.3578143596,29716.039056858,38.2633694638906,Armenia_ARM,Armenia,11370.3578143596,Armenia,Asia,Upper middle income
ARM,75,6,200.745669623526,11175.349595093,11376.0952647165,29716.039056858,38.2826770517758,Armenia_ARM,Armenia,11376.0952647165,Armenia,Asia,Upper middle income
ARM,80,7,216.087893779567,11175.349595093,11391.4374888726,29716.039056858,38.3343064904326,Armenia_ARM,Armenia,11391.4374888726,Armenia,Asia,Upper middle income
ARM,85,7,231.430117935608,11175.349595093,11406.7797130286,29716.039056858,38.3859359290891,Armenia_ARM,Armenia,11406.7797130286,Armenia,Asia,Upper middle income
ARM,90,8,243.303351217463,11175.349595093,11418.6529463105,29716.039056858,38.4258915680596,Armenia_ARM,Armenia,11418.6529463105,Armenia,Asia,Upper middle income
ARM,95,8,251.70759362513,11175.349595093,11427.0571887181,29716.039056858,38.4541734073435,Armenia_ARM,Armenia,11427.0571887181,Armenia,Asia,Upper middle income
ARM,100,8,260.111836032798,11175.349595093,11435.4614311258,29716.039056858,38.4824552466277,Armenia_ARM,Armenia,11435.4614311258,Armenia,Asia,Upper middle income
AUS,0,0,0,1577487.89213164,1577487.89213164,7663105.94525693,20.5854897922692,Australia_AUS,Australia,1577487.89213164,Australia,Oceania,High income
AUS,5,150,44273.9155721273,1577487.89213164,1621761.80770377,7663105.94525693,21.1632439808242,Australia_AUS,Australia,1621761.80770377,Australia,Oceania,High income
AUS,10,300,61182.2976406901,1577487.89213164,1638670.18977233,7663105.94525693,21.3838905722892,Australia_AUS,Australia,1638670.18977233,Australia,Oceania,High income
AUS,15,450,69887.7241247264,1577487.89213164,1647375.61625637,7663105.94525693,21.497492374825,Australia_AUS,Australia,1647375.61625637,Australia,Oceania,High income
AUS,20,600,82098.8098126098,1577487.89213164,1659586.70194425,7663105.94525693,21.6568414139106,Australia_AUS,Australia,1659586.70194425,Australia,Oceania,High income
AUS,25,750,94333.0302753118,1577487.89213164,1671820.92240695,7663105.94525693,21.8164923511428,Australia_AUS,Australia,1671820.92240695,Australia,Oceania,High income
AUS,30,900,117042.43823545,1577487.89213164,1694530.33036709,7663105.94525693,22.1128396563004,Australia_AUS,Australia,1694530.33036709,Australia,Oceania,High income
AUS,35,1049,133214.352891472,1577487.89213164,1710702.24502311,7663105.94525693,22.323875687533,Australia_AUS,Australia,1710702.24502311,Australia,Oceania,High income
AUS,40,1199,145148.441854163,1577487.89213164,1722636.3339858,7663105.94525693,22.4796100470466,Australia_AUS,Australia,1722636.3339858,Australia,Oceania,High income
AUS,45,1349,159853.845734087,1577487.89213164,1737341.73786573,7663105.94525693,22.6715087886923,Australia_AUS,Australia,1737341.73786573,Australia,Oceania,High income
AUS,50,1499,178710.166307351,1577487.89213164,1756198.05843899,7663105.94525693,22.917575079671,Australia_AUS,Australia,1756198.05843899,Australia,Oceania,High income
AUS,55,1649,218214.222036129,1577487.89213164,1795702.11416777,7663105.94525693,23.4330847961096,Australia_AUS,Australia,1795702.11416777,Australia,Oceania,High income
AUS,60,1799,240677.518012577,1577487.89213164,1818165.41014422,7663105.94525693,23.7262204533342,Australia_AUS,Australia,1818165.41014422,Australia,Oceania,High income
AUS,65,1949,262055.922826661,1577487.89213164,1839543.8149583,7663105.94525693,24.0051987810097,Australia_AUS,Australia,1839543.8149583,Australia,Oceania,High income
AUS,70,2098,289133.519462766,1577487.89213164,1866621.41159441,7663105.94525693,24.3585489347143,Australia_AUS,Australia,1866621.41159441,Australia,Oceania,High income
AUS,75,2248,323340.887445538,1577487.89213164,1900828.77957718,7663105.94525693,24.804939317767,Australia_AUS,Australia,1900828.77957718,Australia,Oceania,High income
AUS,80,2398,349260.001892533,1577487.89213164,1926747.89402417,7663105.94525693,25.1431718129478,Australia_AUS,Australia,1926747.89402417,Australia,Oceania,High income
AUS,85,2548,365415.746081959,1577487.89213164,1942903.6382136,7663105.94525693,25.3539968270458,Australia_AUS,Australia,1942903.6382136,Australia,Oceania,High income
